"direccion","barrio","comuna","mas_info","materiales","longitude","latitude"
"BALCARCE 1073","","","","","-58,37022413975911","-34,62017872761329"
"BALCARCE 709","","","","","-58,370294166695885","-34,61598882357801"
"BALCARCE 1285","","","","","-58,3698841359778","-34,62271866798095"
"BALCARCE 699","","","","","-58,37063415378341","-34,6157888297996"
"BALCARCE 410","","","","","-58,37059417836491","-34,612578902852135"
"BALCARCE 1075","","","","","-58,370064146221985","-34,620218725920225"
"BALCARCE 315","","","","","-58,37057418819399","-34,61131893150368"
"BALCARCE 519","","","","","-58,3707741625009","-34,61373887726113"
"BALCARCE 1125","","","","","-58,37020413411043","-34,62108870674599"
"BALCARCE 531","","","","","-58,37075416248847","-34,613858874425446"
"BALCARCE 1477","","","","","-58,36975412562097","-34,62493861667193"
"BALCARCE 1431","","","","","-58,369764128124714","-34,62452862607994"
"BALCARCE 1179","","","","","-58,369824148211464","-34,621358698730596"
"BALCARCE 1011","","","","","-58,370174146933074","-34,61946874357401"
"BALCARCE 1353","","","","","-58,36980413364413","-34,62351864933005"
"BALCARCE 603","","","","","-58,37073415598555","-34,61488885082469"
"BALCARCE 677","","","","","-58,37061415469822","-34,61577882993029"
"BALCARCE 521","","","","","-58,370774162429576","-34,61374887703295"
"BALCARCE 225","","","","","-58,37075418652215","-34,61048895131827"
"BALCARCE 1350","","","","","-58,36963414145664","-34,62342865055551"
"BALCARCE 711","","","","","-58,37023416872703","-34,61605882168808"
"BASAVILBASO 1250","","","","","-58,37741402628107","-34,59357936947159"
"BASAVILBASO 1320","","","","","-58,37703404871723","-34,59267938813918"
"BASAVILBASO 1331","","","","","-58,37694405293913","-34,592619389068375"
"BELGRANO AV. 710","","","","","-58,37629393613509","-34,6128389247144"
"BELGRANO AV. 1335","","","","","-58,385213557552234","-34,613178960482024"
"BELGRANO AV. 1411","","","","","-58,38633350932293","-34,61331896275533"
"BELGRANO AV. 1206","","","","","-58,383653622122615","-34,61334894898869"
"BELGRANO AV. 853","","","","","-58,378403847655036","-34,61276893660411"
"BELGRANO AV. 768","","","","","-58,37709390182777","-34,612918926791245"
"BELGRANO AV. 1642","","","","","-58,3895233714466","-34,613788967607704"
"BELGRANO AV. 545","","","","","-58,37359405249325","-34,612488919532595"
"BELGRANO AV. 317","","","","","-58,370944166671585","-34,61214891436972"
"BELGRANO AV. 625","","","","","-58,37509398852365","-34,61258892456586"
"BELGRANO AV. 275","","","","","-58,370224196607005","-34,61220890949075"
"BELGRANO AV. 615","","","","","-58,37506399007415","-34,61254892533225"
"BELGRANO AV. 1471","","","","","-58,38710347649564","-34,61336896537379"
"BELGRANO AV. 751","","","","","-58,37682391492641","-34,612678930950196"
"BELGRANO AV. 766","","","","","-58,37707390259981","-34,61292892646551"
"BELGRANO AV. 463","","","","","-58,372744089051885","-34,61238891766959"
"BELGRANO AV. 306","","","","","-58,37085416818483","-34,61246890662954"
"BELGRANO AV. 1229","","","","","-58,38367362292149","-34,61311895433402"
"BELGRANO AV. 1692","","","","","-58,39017334367967","-34,61383896964126"
"BELGRANO AV. 1460","","","","","-58,38684348567397","-34,613618958400394"
"BELGRANO AV. 356","","","","","-58,37128414841076","-34,612698903477934"
"BELGRANO AV. 1169","","","","","-58,38281366047246","-34,612938954243596"
"BELGRANO AV. 312","","","","","-58,37085416811351","-34,612478906401364"
"BELGRANO AV. 561","","","","","-58,37418402782648","-34,61245892309421"
"BELGRANO AV. 530","","","","","-58,37422402592562","-34,612488922604776"
"BELGRANO AV. 539","","","","","-58,37392403907622","-34,61241892273897"
"BELGRANO AV. 501","","","","","-58,3734740582671","-34,61238892122913"
"BELGRANO AV. 978","","","","","-58,38013377127462","-34,613248934092596"
